вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 192 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	399 903 729 2112 2109	386 918 743 2088 2085	273 769 594 1966 1963	246 726 551 2021 2018	137 740 565 1582 1579	112 718 544 1635 1632	50 737 562 1056 1053	47 770 596 1084 1081	16 1007 832 425 422	9 1055 881 426 423	0 1020 846 331 328	0 981 806 374 371	
OM1	842 1370 1173 2138 2128	789 1345 1147 2209 2199	610 1166 968 2396 2386	657 1119 921 2446 2436	348 967 769 1964 1954	323 917 720 1974 1964	132 973 775 1368 1358	127 975 777 1291 1281	17 1129 930 462 452	9 1131 933 433 423	0 1112 914 289 279	0 1111 913 288 278	
OM2	381 1224 1056 1879 1877	407 1317 1149 1860 1858	260 1142 973 1752 1750	292 1159 990 1767 1765	117 1320 1152 1144 1142	145 1305 1137 1141 1139	62 1309 1141 689 687	49 1330 1162 698 696	0 1231 1062 235 233	0 1234 1066 222 220	0 1257 1089 69 67	0 1223 1055 70 68	
OM3	528 977 792 2279 2274	570 965 780 2296 2291	355 810 625 2009 2004	344 771 586 2033 2028	170 825 640 1442 1437	138 825 640 1497 1492	62 1399 1214 861 856	53 1382 1197 835 830	8 1093 907 365 360	14 1071 886 364 359	0 1078 893 228 223	0 1072 887 235 230	
OM4	444 825 652 2166 2162	430 803 630 2150 2146	212 760 586 1780 1776	184 684 510 1824 1820	66 833 660 1135 1131	78 938 765 1087 1083	30 1022 849 624 620	30 984 811 666 662	8 992 818 436 432	7 962 789 447 443	0 1036 863 118 114	0 1083 910 111 107	
OM5	175 676 504 1730 1726	214 774 601 1726 1722	78 786 613 1236 1232	82 783 610 1280 1276	42 1113 940 652 648	40 1076 904 695 691	23 936 763 530 526	23 914 741 526 522	1 910 736 469 465	0 932 759 468 464	0 888 715 33 29	0 847 674 39 35	
OM6	398 874 690 1985 1977	382 916 732 1995 1987	182 1405 1220 1128 1120	174 1406 1221 1154 1146	47 1020 836 762 754	47 1036 852 747 739	14 1201 1017 395 387	16 1148 964 381 373	0 1066 881 373 365	0 1027 843 380 372	0 638 454 20 12	0 632 448 15 7	
OM7	45 798 630 967 963	45 819 651 948 944	14 910 741 547 543	11 912 744 580 576	2 1086 918 301 297	1 1090 922 299 295	0 1023 855 310 306	0 1075 907 301 297	0 1105 936 200 196	0 1118 950 179 175	0 450 282 6 2	0 444 276 8 4	
OM8	7 815 648 580 577	6 852 684 588 585	1 1098 930 257 254	1 1141 973 243 240	0 1092 924 263 260	0 1046 879 286 283	0 1078 910 261 258	0 1059 891 256 253	0 974 806 26 23	0 979 812 29 26	0 323 156 3 0	0 311 143 3 0	
OM9	12 1026 827 563 553	14 1075 875 556 546	0 1250 1050 256 246	0 1205 1005 256 246	0 1160 960 293 283	0 1143 944 286 276	0 1236 1036 161 151	0 1266 1067 147 137	0 813 612 19 9	0 798 599 13 3	0 379 180 12 2	0 344 144 4 -6	
OM10	6 1137 974 278 272	2 1142 979 286 280	0 1091 928 302 296	1 1072 909 304 298	0 1095 932 161 155	0 1118 955 143 137	0 937 774 55 49	0 904 741 53 47	0 443 279 10 4	1 428 265 10 4	0 258 95 11 5	0 270 107 4 -2	
