вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 210 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	596 1185 1022 2097 2095	626 1155 991 2027 2025	488 978 814 2182 2180	465 1010 846 2118 2116	358 913 749 2080 2078	341 910 747 2002 2000	205 840 676 1778 1776	210 801 637 1747 1745	54 2078 1913 656 654	47 2135 1971 647 645	0 874 710 515 513	0 792 628 571 569	
OM1	11 1379 1187 82 73	14 1460 1268 106 97	31 1183 990 99 90	44 1152 959 123 114	494 1076 884 1149 1140	438 1063 871 1105 1096	847 996 804 2491 2482	879 1010 818 2672 2663	239 1670 1477 1282 1273	225 1628 1436 1324 1315	8 964 772 601 592	12 935 743 555 546	
OM2	532 1280 1102 1243 1239	490 1386 1207 1229 1225	820 1109 930 2095 2091	745 1144 965 2063 2059	815 1062 883 2448 2444	757 1028 850 2494 2490	528 1088 909 2248 2244	556 1032 853 2235 2231	112 2076 1896 874 870	143 2118 1939 799 795	4 846 667 624 620	3 887 708 578 574	
OM3	713 1323 1138 2163 2160	750 1344 1158 2197 2194	578 1091 905 2325 2322	588 1060 874 2220 2217	426 1076 890 2015 2012	371 960 775 2044 2041	230 1036 850 1594 1591	225 1018 833 1628 1625	38 1998 1812 605 602	35 1996 1811 621 618	0 930 745 506 503	0 891 705 487 484	
OM4	442 1064 908 1853 1850	415 1055 899 1919 1916	304 882 726 1899 1896	305 860 704 1880 1877	159 941 785 1543 1540	168 893 737 1498 1495	113 1674 1518 928 925	105 1687 1531 973 970	21 1106 949 438 435	15 1161 1005 406 403	0 915 759 382 379	0 872 716 422 419	
OM5	621 1008 839 2204 2199	591 1071 901 2243 2238	411 969 799 1859 1854	327 903 733 1945 1940	169 1563 1393 1265 1260	178 1550 1381 1260 1255	82 2109 1939 724 719	83 2053 1883 798 793	5 1084 913 363 358	10 1091 921 374 369	0 1049 879 195 190	0 1036 866 187 182	
OM6	328 816 627 2113 2107	328 823 633 2150 2144	112 796 606 1534 1528	110 826 636 1525 1519	52 1288 1098 849 843	54 1223 1034 829 823	17 978 788 604 598	14 907 717 661 655	0 1038 847 383 377	1 1018 828 397 391	0 1004 814 61 55	0 986 796 78 72	
OM7	43 1638 1461 525 525	43 1563 1386 543 543	0 1600 1423 355 355	0 1579 1402 350 350	0 1203 1026 266 266	0 1244 1067 234 234	0 1340 1163 58 58	0 1347 1170 52 52	0 1314 1136 27 27	0 1313 1136 30 30	0 646 469 0 0	0 667 490 1 1	
OM8	47 788 616 966 960	49 783 611 979 973	15 881 709 598 592	22 903 731 567 561	5 1048 876 364 358	13 1019 847 369 363	2 1005 833 397 391	2 967 795 409 403	0 1109 936 208 202	0 1106 934 216 210	0 435 263 12 6	0 479 307 9 3	
OM9	24 777 629 709 704	12 825 677 684 679	7 1046 897 320 315	8 1003 854 354 349	1 973 825 347 342	2 949 801 384 379	0 994 846 325 320	0 983 835 323 318	0 877 728 50 45	0 913 765 38 33	0 316 168 8 3	0 297 149 12 7	
OM10	12 1032 875 348 344	9 1052 895 371 367	1 1050 893 320 316	0 1048 891 344 340	0 1073 916 276 272	0 1041 884 280 276	0 1073 916 113 109	0 1123 966 109 105	0 555 397 8 4	0 586 429 7 3	0 307 150 8 4	0 286 129 6 2	
OM11	2 1028 869 337 334	3 1057 897 337 334	0 1078 918 261 258	0 1093 933 264 261	1 1059 899 105 102	0 1062 903 124 121	1 811 651 20 17	0 790 630 43 40	0 357 197 1 -2	0 365 206 4 1	0 241 82 5 2	0 270 110 6 3	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 211 	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	low, mn, m, hn, n	
OM0	0 1144 994 195 192	0 1172 1022 201 198	0 1113 963 53 50	0 1067 917 71 68	0 806 656 5 2	0 774 624 12 9	0 537 387 6 3	0 489 339 8 5	0 264 113 8 5	0 281 131 2 -1	0 243 93 3 0	0 269 119 4 1	
OM1	0 1267 1085 1 1	0 1304 1122 1 1	0 841 658 1 1	0 833 650 1 1	0 555 373 0 0	0 516 334 0 0	0 393 211 1 1	0 414 232 0 0	0 296 113 1 1	0 352 170 0 0	0 273 91 0 0	0 304 122 0 0	
OM2	0 875 709 24 20	0 906 740 25 21	0 516 349 3 -1	0 531 364 8 4	0 366 200 5 1	0 369 203 6 2	0 309 143 7 3	0 298 132 5 1	0 258 91 7 3	0 268 102 5 1	0 248 82 6 2	0 246 80 3 -1	
OM3	0 655 453 16 5	0 704 501 16 5	0 432 229 14 3	0 448 245 16 5	0 369 166 10 -1	0 372 170 10 -1	0 329 126 10 -1	1 299 96 16 5	0 308 104 14 3	0 315 113 13 2	0 320 118 19 8	0 313 110 11 0	
OM4	0 495 268 20 11	0 489 262 16 7	0 391 164 8 -1	0 429 202 18 9	0 357 130 11 2	0 369 142 9 0	0 356 129 15 6	0 329 102 16 7	0 340 112 14 5	0 344 117 16 7	0 334 107 17 8	0 329 102 7 -2	
OM5	0 515 230 26 5	0 564 278 21 -1	0 475 189 30 8	0 490 204 24 2	0 473 187 27 5	0 469 184 21 0	0 507 221 23 1	0 468 182 24 2	0 465 178 21 -1	0 450 165 25 3	0 449 164 15 -7	0 413 127 26 4	
OM6	0 391 183 13 6	0 373 165 8 1	0 350 142 9 2	1 371 163 8 1	0 356 148 9 2	0 309 101 7 0	0 341 133 4 -3	1 308 100 8 1	0 348 139 7 0	0 339 131 9 2	0 319 111 7 0	0 300 92 11 4	
