вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 210 	low	low	low	low	low	low	low	low	low	low	low	low	
OM0	596	626	488	465	358	341	205	210	54	47	0	0	
OM1	11	14	31	44	494	438	847	879	239	225	8	12	
OM2	532	490	820	745	815	757	528	556	112	143	4	3	
OM3	713	750	578	588	426	371	230	225	38	35	0	0	
OM4	442	415	304	305	159	168	113	105	21	15	0	0	
OM5	621	591	411	327	169	178	82	83	5	10	0	0	
OM6	328	328	112	110	52	54	17	14	0	1	0	0	
OM7	43	43	0	0	0	0	0	0	0	0	0	0	
OM8	47	49	15	22	5	13	2	2	0	0	0	0	
OM9	24	12	7	8	1	2	0	0	0	0	0	0	
OM10	12	9	1	0	0	0	0	0	0	0	0	0	
OM11	2	3	0	0	1	0	1	0	0	0	0	0	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 211 	low	low	low	low	low	low	low	low	low	low	low	low	
OM0	0	0	0	0	0	0	0	0	0	0	0	0	
OM1	0	0	0	0	0	0	0	0	0	0	0	0	
OM2	0	0	0	0	0	0	0	0	0	0	0	0	
OM3	0	0	0	0	0	0	0	1	0	0	0	0	
OM4	0	0	0	0	0	0	0	0	0	0	0	0	
OM5	0	0	0	0	0	0	0	0	0	0	0	0	
OM6	0	0	0	1	0	0	0	1	0	0	0	0	
OM7	0	0	0	0	0	0	0	0	0	0	0	0	
OM8	0	0	0	0	1	0	0	0	0	0	0	0	
OM9	0	0	0	0	0	0	0	0	0	0	0	0	
OM10	0	0	1	0	0	0	0	0	0	0	0	0	
OM11	1	0	0	0	1	0	0	0	0	0	0	0	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 192 	low	low	low	low	low	low	low	low	low	low	low	low	
OM0	399	386	273	246	137	112	50	47	16	9	0	0	
OM1	842	789	610	657	348	323	132	127	17	9	0	0	
OM2	381	407	260	292	117	145	62	49	0	0	0	0	
OM3	528	570	355	344	170	138	62	53	8	14	0	0	
OM4	444	430	212	184	66	78	30	30	8	7	0	0	
OM5	175	214	78	82	42	40	23	23	1	0	0	0	
OM6	398	382	182	174	47	47	14	16	0	0	0	0	
OM7	45	45	14	11	2	1	0	0	0	0	0	0	
OM8	7	6	1	1	0	0	0	0	0	0	0	0	
OM9	12	14	0	0	0	0	0	0	0	0	0	0	
OM10	6	2	0	1	0	0	0	0	0	1	0	0	
OM11	0	0	0	0	0	0	0	0	0	0	0	0	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 193 	low	low	low	low	low	low	low	low	low	low	low	low	
OM0	1	0	1	0	1	0	1	1	0	0	0	0	
OM1	0	0	0	0	0	0	0	0	0	0	0	0	
OM2	0	0	0	0	0	0	0	0	0	0	0	0	
OM3	0	0	0	0	0	0	1	0	1	0	1	0	
OM4	0	0	0	0	0	0	0	0	0	0	0	0	
OM5	1	0	0	0	0	0	0	0	0	0	0	0	
OM6	0	0	0	0	0	0	0	0	0	0	0	0	
OM7	0	0	0	0	0	0	0	0	1	0	1	0	
OM8	0	0	0	0	0	0	0	0	0	0	0	0	
OM9	0	0	0	0	0	0	0	0	0	0	0	0	
OM10	0	0	0	0	0	0	0	0	0	0	0	0	
OM11	0	0	0	0	0	0	0	0	0	0	0	0	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 207 	low	low	low	low	low	low	low	low	low	low	low	low	
OM0	98	95	59	63	19	19	18	11	0	2	0	0	
OM1	466	433	131	142	53	70	27	23	1	2	0	0	
OM2	105	100	44	33	13	11	8	11	0	0	0	1	
OM3	93	94	32	34	13	9	1	4	0	0	0	0	
OM4	66	72	17	19	0	0	0	0	0	0	0	0	
OM5	63	61	18	15	5	11	4	3	0	0	0	0	
OM6	111	121	38	32	10	7	0	0	0	0	0	0	
OM7	17	15	10	5	0	1	0	0	0	0	0	1	
OM8	10	9	1	1	0	0	0	0	0	0	0	0	
OM9	7	4	0	0	0	0	0	0	0	0	0	0	
OM10	0	0	0	0	0	1	0	0	0	1	0	0	
OM11	0	1	0	0	0	0	0	0	0	0	0	0	
вспышка лазера	1	2	3	4	5	6	7	8	9	10	11	12
Секция 208 	low	low	low	low	low	low	low	low	low	low	low	low	
OM0	0	0	0	0	2	0	0	0	1	0	0	0	
OM1	0	0	0	0	0	0	0	0	0	0	0	0	
OM2	0	0	0	0	0	0	0	0	0	0	0	0	
OM3	0	0	0	0	0	0	0	0	0	0	0	0	
OM4	0	0	0	0	0	0	0	0	0	0	0	0	
OM5	0	0	0	0	0	0	0	0	0	0	0	0	
OM6	0	1	0	0	0	0	0	0	0	0	0	0	
OM7	0	0	0	0	0	0	0	0	1	0	1	0	
OM8	0	0	0	0	0	0	0	0	0	0	0	0	
OM9	0	0	0	0	0	0	0	0	0	0	0	0	
OM10	2	0	0	0	0	0	0	1	0	0	0	0	
OM11	0	0	0	0	0	0	0	0	0	0	1	0	
